"filename", "language", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\queue\driverLink.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\queue\newBidBroadcast.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\router\client.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 3, 12, 38
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\router\loginAndSignUp\client.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 4, 12, 45
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\router\loginAndSignUp\transporter.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 4, 12, 45
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\router\transporter.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 8, 26
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\router\trip.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\router\user.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\storage\multer.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\util\createNewError.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\util\generateTripToken.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\util\reverseGeoLocator.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\backend\worker\OTPDeliveryConfirmation.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
